id,type,domain,enabled,date_added,date_modified,comment
1,0,clients4.google.com,1,1597871592,1616537911,"Google Maps and other Google services"
2,0,clients2.google.com,1,1597871611,1616537911,"Google Maps and other Google services"
3,0,s.youtube.com,1,1597871650,1616537911,"YouTube history"
4,0,video-stats.l.google.com,1,1597871665,1616537911,"YouTube history"
6,0,reminders-pa.googleapis.com,1,1597871700,1616537911,"Google Keep"
7,0,firestore.googleapis.com,1,1597871700,1616537911,"Google Keep"
9,0,outlook.office365.com,1,1597871780,1616537911,"Microsoft Websites"
10,0,products.office.com,1,1597871780,1616537911,"Microsoft Websites"
11,0,c.s-microsoft.com,1,1597871780,1616537911,"Microsoft Websites"
12,0,i.s-microsoft.com,1,1597871780,1616537911,"Microsoft Websites"
13,0,login.live.com,1,1597871780,1616537911,"Microsoft Websites"
14,0,login.microsoftonline.com,1,1597871780,1616537911,"Microsoft Websites"
15,0,g.live.com,1,1597871807,1616537911,"Backup BitLocker Recovery Key"
16,0,dl.delivery.mp.microsoft.com,1,1597871832,1616537911,"Microsoft / Windows Store"
17,0,geo-prod.do.dsp.mp.microsoft.com,1,1597871832,1616537911,"Microsoft / Windows Store"
18,0,displaycatalog.mp.microsoft.com,1,1597871832,1616537911,"Microsoft / Windows Store"
19,0,sls.update.microsoft.com.akadns.net,1,1597871854,1616537911,"Windows 10 Update"
20,0,fe3.delivery.dsp.mp.microsoft.com.nsatc.net,1,1597871854,1616537911,"Windows 10 Update"
27,0,sa.symcb.com,1,1597871881,1616537911,Skype
28,0,s.gateway.messenger.live.com,1,1597871899,1616537911,Skype
29,0,client-s.gateway.messenger.live.com,1,1597871899,1616537911,Skype
30,0,ui.skype.com,1,1597871899,1616537911,Skype
31,0,pricelist.skype.com,1,1597871899,1616537911,Skype
32,0,apps.skype.com,1,1597871900,1616537911,Skype
33,0,m.hotmail.com,1,1597871900,1616537911,Skype
34,0,officeclient.microsoft.com,1,1597871933,1616537911,"Microsoft Office"
36,0,dl.dropboxusercontent.com,1,1597873054,1616537911,DropBox
37,0,ns1.dropbox.com,1,1597873054,1616537911,DropBox
38,0,ns2.dropbox.com,1,1597873054,1616537911,DropBox
40,0,msftncsi.com,1,1597873128,1616537911,"Microsoft Captive-Portal Test"
41,0,www.msftncsi.com,1,1597873128,1616537911,"Microsoft Captive-Portal Test"
42,0,ipv6.msftncsi.com,1,1597873128,1616537911,"Microsoft Captive-Portal Test"
43,0,connectivitycheck.android.com,1,1597873158,1616537911,"Android Captive-Portal Test"
44,0,android.clients.google.com,1,1597873158,1616537911,"Android Captive-Portal Test"
45,0,clients3.google.com,1,1597873158,1616537911,"Android Captive-Portal Test"
46,0,connectivitycheck.gstatic.com,1,1597873158,1616537911,"Android Captive-Portal Test"
47,0,tracking.epicgames.com,1,1597873182,1616537911,"Epic Games Store"
49,0,nexus.ensighten.com,1,1597873220,1616537911,"Home Depot Checkout"
50,0,assets.adobedtm.com,1,1597873234,1616537911,"Lowe&amp;#039;s Checkout"
51,2,(\.|^)http://www\.megaupload\.com/$,1,1597874141,1616537913,Megaupload
52,2,(\.|^)https://www\.4shared\.com/$,1,1597874247,1616537913,4Shared
53,0,www.4shared.com,1,1597874302,1616537911,4Shared
54,1,mobile.pipe.aria.microsoft.com,1,1597876817,1616537907,"Outlook Mobile/Skype"
55,0,www.bit.ly,1,1597966601,1616537911,"Link Shortener"
56,0,bit.ly,1,1597966616,1616537911,"Link Shortener"
57,0,ow.ly,1,1597966631,1616537911,"Link Shortener"
58,0,tinyurl.com,1,1597966648,1616537911,"Link Shortener"
59,0,cdn.optimizely.com,1,1597966664,1616537911,"EA / Origin"
60,0,s.shopify.com,1,1597966680,1616537911,Shopify
61,0,ouo.io,1,1598005530,1616537911,"Link Shortener - Sittingonclouds"
62,0,beacons.gvt2.com,1,1598009492,1616537911,"Google services"
63,0,beacons3.gvt2.com,1,1598009496,1616537911,"Google services"
64,0,beacons5.gvt3.com,1,1598009523,1616537911,"Google services"
65,0,beacons5.gvt2.com,1,1598009527,1616537911,"Google services"
66,0,beacons4.gvt2.com,1,1598009531,1616537911,"Google services"
67,0,beacons.gcp.gvt2.com,1,1598009606,1616537911,"Google services"
68,0,telemetry.malwarebytes.com,1,1598029656,1616537911,MalwareBytes
69,0,continuum.dds.microsoft.com,1,1598029984,1616537911,"My Phone Win 10"
72,2,(\.|^)khinsider$,1,1598119169,1616537913,"KH Game Music Downloads"
74,0,downloads.khinsider.com,1,1598205143,1616537911,"KH Game Music Downloads"
75,1,prod-classifyclient.normandy.prod.cloudops.mozgcp.net,1,1598297621,1616537907,"Added from Query Log"
76,3,(\.|^)https://operateoriginalheavilyapplication\.icu$,1,1598814645,1616537908,"Fake Firefox Updates"
77,0,www.sittingonclouds.ru,1,1598818708,1616537911,
78,0,sourceforge.net,1,1598972686,1616537912,"Added from Query Log"
80,0,discordapp.com,1,1598997845,1616537912,"Added from Query Log"
